com.google.gson.functional.ObjectTest;testTruncatedDeserialization
com.google.gson.functional.MapTest;testInterfaceTypeMap;testStringKeyDeserialization;testMapDeserializationWithIntegerKeys
com.google.gson.functional.DefaultTypeAdaptersTest;testTreeSetDeserialization
com.google.gson.functional.ParameterizedTypesTest;testParameterizedTypeGenericArraysDeserialization;testVariableTypeFieldsAndGenericArraysDeserialization
com.google.gson.functional.CollectionTest;testRawCollectionDeserializationNotAlllowed;testRawCollectionOfIntegersSerialization;testNullsInListSerialization;testNullsInListDeserialization;testCollectionOfBagOfPrimitivesSerialization
com.google.gson.functional.InheritanceTest;testSubInterfacesOfCollectionDeserialization
com.google.gson.functional.UncategorizedTest;testTrailingWhitespace
com.google.gson.functional.CustomTypeAdaptersTest;testCustomAdapterInvokedForMapElementSerialization
com.google.gson.functional.NullObjectAndFieldTest;testPrintPrintingObjectWithNulls
com.google.gson.functional.CircularReferenceTest;testCircularSerialization
com.google.gson.functional.PrettyPrintingTest;testPrettyPrintList
com.google.gson.functional.StreamingTypeAdaptersTest;testNullSafe
com.google.gson.functional.ThrowableFunctionalTest;testErrornWithCause
com.google.gson.functional.JsonParserTest;testExtraCommasInMaps
